EntityId,Symbol,Name,PriceSourceUser,Repno,IssueId,Date1,Date2,LogChange1,LogChange2,Close1,Close2,SplitFactor1,SplitFactor2,Multiplier,VolumeSpike
320375,ENRJ,EnerJex Resources Inc,ReutersAndEODData,B11A2,1,12/6/1999,4/19/2000,-0.434285939,0.470003635,7.125,3,0.0009999999,0.0009999999,1.5833333333333333,-4.1
315940,ESSBIO-C,Emp. de Servicios Sanitarios del Bio Bio,ReutersAndEODData,ABFD2,3,12/16/2008,4/29/2009,-7.090077,6.991137,0.02,25,1,1,1125,-2.8
308099,EXTI,Millenium National Events Inc,ReutersAndEODData,A2503,1,3/21/2000,3/22/2000,-0.6931472,0.77319,1.5,3.25,0.0009999999,0.0009999999,2.0833333333333335,-7.7
1012199,FNMFO,Fed Natl Mtg Pfd I,YahooAndEODData,,,11/9/2005,2/28/2006,-6.90638065,6.90347528,91,97457,1,1,1000,0
1123803,FPMC,Flair Petroleum Corp,YahooAndEODData,,,10/12/1999,10/13/1999,7.18647146,-6.907744,346876,346.88,2,2,1166.6666666666667,0
1012231,FREJO,Fed Home Ln Pfd,YahooAndEODData,,,7/3/2008,8/1/2008,0.5080632,-0.5080632,,18.125,1,1,1.6666666666666667,-0.7
306504,GOVB,"Gouverneur Bancorp, Inc.",ReutersAndEODData,A1E94,1,3/10/2011,7/12/2011,1.0677712,-0.9567195,26.18,10.18,1,1,2.75,-4.2
306504,GOVB,"Gouverneur Bancorp, Inc.",ReutersAndEODData,A1E94,1,7/13/2011,9/6/2011,0.950283945,-0.9418445,26.33,8.5,1,1,2.5833333333333335,-3.3
306504,GOVB,"Gouverneur Bancorp, Inc.",ReutersAndEODData,A1E94,1,7/13/2011,11/29/2011,0.950283945,-0.866111338,26.33,8.5,1,1,2.5,-4.5
1148493,HCM,,Yahoo,,,9/3/2012,9/4/2012,-12.2758055,12.2861156,0.09,19500,1.25,1.25,216666.66666666666,-0.4
305550,HZO,"MarineMax, Inc.",ReutersAndEODData,A1ACA,1,11/5/2008,11/18/2008,-0.5007747,0.4367176,1.4,2.6,1,1,1.5833333333333333,0.1
1093483,IBGM.L,Ishares II Plc,EODData,,,7/2/2012,7/31/2012,-4.37355042,4.586621,1.7579,13700,1,1,87.5,0
306803,IIJI,Internet Initiative Japan Inc. (ADR),ReutersAndEODData,A1FC9,1,4/14/2000,4/17/2000,-0.3863436,0.402936578,33,49.375,199.999954,199.999954,1.5,-0.3
1102112,IKK.L,INCH KENNETH KAJANG RUBBER PLC 10P,YahooAndEODData,,,2/5/2010,2/8/2010,0.4054651,-0.4054651,,5,1,1,1.5,0
315884,IMUSA,Industrias Metalurgicas Unidas S.A.,ReutersAndEODData,ABEC6,2,6/6/2002,7/4/2002,-1.09213328,1.09313285,3355,10010,1,1,3,-3.5
306688,ITAH,ITA Holdings Inc.,ReutersAndEODData,A1F51,1,2/18/2000,4/18/2000,-0.4674756,0.417299449,18.5625,10.625,1,1,1.5416666666666667,0.1
311599,KCDMY,Kimberly Clark De Me,ReutersAndEODData,A7411,1,4/3/2012,4/4/2012,-1.02509356,0.992157459,12.18,10.95,2.99999976,1,2.75,-0.7
319234,KRBF,"Kreido Biofuels, Inc.",ReutersAndEODData,AF695,1,11/13/2006,11/28/2006,0.7537718,-0.7765288,17,2.3,9.722001,1,2.1666666666666665,-8.2
319234,KRBF,"Kreido Biofuels, Inc.",ReutersAndEODData,AF695,1,11/28/2006,12/22/2006,-0.7765288,0.798507631,2.3,5,1,1,2.2083333333333335,-4.7
1101801,LGEN.L,Legal & General Group Plc,YahooAndEODData,A2F46,1,11/7/2008,11/10/2008,0.8050651,-0.747541249,170,80.5,1,1,2.1666666666666665,-0.7
315889,MANCEMENTO,Manufacturas de Cemento S.A.,ReutersAndEODData,ABEE3,1,3/17/2010,4/16/2010,0.598208368,-0.559615731,31500,18000,1,1,1.7916666666666667,-1.7
307239,MAXY,"Maxygen, Inc.",ReutersAndEODData,A2185,1,1/10/2000,3/20/2000,0.362763584,-0.4155154,82.375,99,1,1,1.4583333333333333,-1.3
